time,open,high,low,close,volume
1704171720,45183.1,45197.2,45183.1,45188.0,117.864
1704171780,45188.1,45194.1,45160.0,45184.9,208.659
1704171840,45184.7,45195.0,45153.0,45160.3,231.227
1704171900,45160.4,45183.9,45154.8,45182.9,145.061
1704171960,45182.8,45219.3,45180.1,45219.3,207.322
1704172020,45219.2,45249.6,45219.2,45246.5,185.523
1704172080,45246.5,45276.7,45243.4,45272.4,191.155
1704172140,45272.3,45305.1,45263.7,45305.1,342.729
1704172200,45305.0,45317.5,45285.3,45310.1,211.233
1704172260,45310.1,45310.1,45276.9,45304.2,152.84
1704172320,45304.1,45312.2,45288.1,45312.2,54.682
1704172380,45312.1,45340.0,45309.9,45340.0,167.598
1704172440,45340.0,45361.0,45335.5,45344.0,292.164
1704172500,45344.1,45366.0,45338.2,45365.9,145.895
1704172560,45365.9,45366.0,45266.5,45266.6,337.544
1704172620,45266.6,45296.3,45266.5,45285.0,93.4
1704172680,45285.0,45300.0,45285.0,45298.1,92.729
1704172740,45298.0,45317.2,45280.9,45295.9,115.029
1704172800,45295.9,45316.1,45295.5,45309.9,49.141
1704172860,45309.9,45310.0,45284.7,45300.0,39.963
1704172920,45300.0,45310.0,45285.5,45286.5,54.164
1704172980,45286.6,45290.5,45280.9,45290.4,72.693
1704173040,45290.4,45312.3,45281.9,45298.4,107.257
1704173100,45298.4,45309.8,45277.4,45287.7,133.884
1704173160,45287.8,45319.3,45287.7,45315.0,85.977
1704173220,45314.9,45315.0,45276.3,45276.3,65.837
1704173280,45276.4,45293.7,45276.3,45288.7,41.025
1704173340,45288.7,45299.0,45281.3,45294.3,59.497
1704173400,45294.2,45300.0,45266.2,45266.3,104.963
1704173460,45266.3,45270.4,45253.2,45262.0,76.542
1704173520,45262.1,45280.0,45259.4,45279.9,91.511
1704173580,45279.9,45293.2,45275.3,45275.4,68.12
1704173640,45275.3,45299.0,45267.3,45298.9,72.66
1704173700,45298.9,45313.0,45280.7,45299.1,100.817
1704173760,45299.1,45305.8,45277.9,45283.4,122.821
1704173820,45283.5,45308.2,45279.1,45308.2,53.526
1704173880,45308.1,45328.9,45308.1,45328.7,93.828
1704173940,45328.7,45334.5,45328.7,45331.5,75.496
1704174000,45331.4,45331.5,45304.1,45308.8,76.77
1704174060,45308.9,45311.1,45289.0,45298.5,41.33
1704174120,45297.6,45297.6,45275.1,45276.9,62.042
1704174180,45277.0,45291.7,45269.7,45289.3,95.149
1704174240,45288.9,45295.8,45280.5,45280.6,54.939
1704174300,45280.7,45285.8,45265.0,45265.1,120.896
1704174360,45265.1,45282.1,45260.0,45271.7,131.765
1704174420,45271.6,45330.0,45271.6,45322.9,150.487
1704174480,45322.9,45356.8,45322.9,45336.3,136.341
1704174540,45336.3,45341.3,45314.5,45321.6,57.872
1704174600,45321.7,45344.3,45301.9,45312.7,178.865
1704174660,45312.8,45315.7,45260.6,45267.8,157.927
1704174720,45267.8,45275.9,45229.1,45229.1,205.921
1704174780,45229.2,45231.3,45174.8,45177.0,434.145
1704174840,45177.1,45200.0,45177.0,45200.0,212.667
1704174900,45199.9,45209.3,45181.9,45201.5,163.635
1704174960,45201.3,45230.5,45201.3,45227.4,127.504
1704175020,45227.3,45235.4,45207.5,45227.7,142.141
1704175080,45227.7,45228.6,45218.9,45223.5,69.279
1704175140,45223.4,45237.6,45218.1,45218.2,81.406
1704175200,45218.2,45219.8,45200.9,45204.4,111.613
1704175260,45204.5,45225.4,45200.0,45203.6,74.276
1704175320,45203.7,45211.8,45193.0,45193.1,187.764
1704175380,45193.1,45195.9,45176.8,45176.8,75.171
1704175440,45176.9,45222.8,45163.9,45217.6,256.266
1704175500,45217.6,45225.0,45198.6,45221.2,130.465
