time,open,high,low,close,volume
1704171720,16847.2,16855.68,16847.2,16854.66,49
1704171780,16854.66,16854.92,16853.68,16854.18,86
1704171840,16854.18,16855.05,16853.42,16854.91,146
1704171900,16854.91,16855.31,16854.18,16854.18,101
1704171960,16854.18,16854.3,16853.42,16853.93,49
1704172020,16853.93,16854.05,16852.16,16852.54,77
1704172080,16852.54,16853.92,16851.67,16852.91,111
1704172140,16852.91,16854.43,16852.67,16854.17,110
1704172200,16854.17,16856.18,16853.8,16855.42,145
1704172260,16855.42,16857.91,16855.42,16857.55,122
1704172320,16857.55,16859.06,16856.79,16858.16,239
1704172380,16858.16,16859.54,16858.16,16859.43,149
1704172440,16859.43,16861.18,16858.66,16861.18,114
1704172500,16861.18,16861.18,16860.06,16860.66,98
1704172560,16860.66,16861.18,16860.17,16860.29,83
1704172620,16860.29,16860.54,16858.79,16859.17,48
1704172680,16859.17,16860.31,16859.04,16860.16,96
1704172740,16860.16,16861.67,16859.16,16859.91,123
1704172800,16859.91,16860.68,16859.3,16859.3,159
1704172860,16859.3,16859.68,16857.55,16858.66,108
1704172920,16858.66,16859.18,16858.66,16859.05,152
1704172980,16859.05,16859.93,16858.79,16859.93,68
1704173040,16859.93,16861.17,16859.55,16859.67,82
1704173100,16859.67,16862.31,16859.43,16862.3,120
1704173160,16862.3,16863.16,16861.41,16862.54,147
1704173220,16862.54,16863.56,16862.3,16863.17,71
1704173280,16863.17,16863.66,16862.91,16863.16,79
1704173340,16863.16,16863.81,16861.06,16861.66,124
1704173400,16861.66,16862.3,16860.54,16861.81,125
1704173460,16861.81,16862.31,16861.66,16861.66,90
1704173520,16861.66,16862.68,16861.66,16862.68,85
1704173580,16862.68,16862.68,16860.93,16861.92,163
1704173640,16861.92,16863.43,16861.66,16862.42,140
1704173700,16862.42,16863.56,16861.16,16861.3,122
1704173760,16861.3,16861.68,16860.66,16861.66,96
1704173820,16861.66,16861.68,16860.55,16861.43,99
1704173880,16861.43,16862.68,16861.3,16862.31,84
1704173940,16862.31,16862.93,16861.42,16861.66,92
1704174000,16861.66,16862.05,16861.41,16861.91,84
1704174060,16861.91,16862.8,16861.56,16862.43,52
1704174120,16862.43,16863.18,16862.16,16863.04,118
1704174180,16863.04,16863.56,16862.43,16863.41,51
1704174240,16863.41,16863.67,16863.04,16863.3,38
1704174300,16863.3,16863.3,16861.79,16862.67,84
1704174360,16862.67,16863.04,16862.17,16862.42,91
1704174420,16862.42,16862.67,16862.05,16862.17,64
1704174480,16862.17,16862.43,16862.04,16862.16,36
1704174540,16862.16,16862.29,16861.05,16861.16,65
1704174600,16861.16,16863.04,16861.16,16862.79,54
1704174660,16862.79,16863.18,16862.29,16862.54,37
1704174720,16862.54,16864.06,16862.3,16862.66,71
1704174780,16862.66,16863.66,16862.29,16862.93,60
1704174840,16862.93,16863.18,16862.79,16862.79,113
1704174900,16862.79,16863.67,16861.91,16863.31,125
1704174960,16863.31,16864.05,16863.16,16863.43,148
1704175020,16863.43,16863.43,16862.16,16862.41,84
1704175080,16862.41,16863.29,16862.41,16862.68,39
1704175140,16862.68,16863.56,16862.54,16862.66,91
1704175200,16862.66,16863.68,16862.42,16863.56,100
1704175260,16863.56,16864.42,16862.04,16862.17,84
1704175320,16862.17,16862.55,16861.55,16861.92,83
1704175380,16861.92,16861.92,16861.16,16861.42,84
1704175440,16861.42,16862.18,16860.8,16861.93,97
1704175500,16861.93,16862.79,16860.54,16860.67,123
1704175560,16860.67,16860.93,16858.18,16858.41,77
1704175620,16858.41,16858.66,16857.17,16857.43,106
1704175680,16857.43,16858.18,16857.04,16858.16,66
1704175740,16858.16,16859.16,16858.05,16858.06,42
1704175800,16858.06,16858.66,16857.79,16857.92,109
1704175860,16857.92,16858.42,16856.04,16856.18,140
1704175920,16856.18,16856.56,16855.04,16855.41,97
1704175980,16855.41,16856.31,16855.3,16856.04,75
1704176040,16856.04,16856.31,16855.54,16855.66,35
1704176100,16855.66,16856.43,16855.29,16856.16,82
1704176160,16856.16,16856.43,16855.05,16855.67,63
1704176220,16855.67,16855.67,16855.16,16855.41,37
1704176280,16855.41,16856.16,16854.91,16854.91,49
1704176340,16854.91,16855.67,16854.67,16855.18,41
1704176400,16855.18,16855.81,16854.91,16855.43,116
1704176460,16855.43,16856.43,16855.41,16855.92,119
1704176520,16855.92,16856.66,16855.18,16856.29,110
1704176580,16856.29,16856.43,16855.3,16855.66,68
1704176640,16855.66,16856.67,16855.3,16856.41,69
1704176700,16856.41,16857.18,16856.17,16856.92,58
1704176760,16856.92,16857.68,16856.41,16856.67,57
1704176820,16856.67,16856.92,16855.92,16856.18,43
1704176880,16856.18,16856.31,16855.66,16856.18,129
1704176940,16856.18,16856.93,16856.05,16856.8,44
1704177000,16856.8,16857.8,16856.43,16857.3,135
1704177060,16857.3,16857.55,16856.67,16856.91,75
1704177120,16856.91,16856.92,16855.8,16856.56,77
1704177180,16856.56,16857.18,16856.43,16857.05,86
1704177240,16857.05,16857.05,16853.91,16854.41,209
1704177300,16854.41,16855.8,16854.29,16855.68,126
1704177360,16855.68,16856.17,16854.79,16854.92,56
1704177420,16854.92,16855.06,16853.91,16854.42,99
1704177480,16854.42,16854.42,16852.55,16852.93,61
1704177540,16852.93,16853.43,16852.41,16853.16,141
1704177600,16853.16,16853.93,16852.41,16852.55,74
1704177660,16852.55,16855.06,16852.29,16854.79,113
1704177720,16854.79,16855.92,16854.66,16855.42,70
1704177780,16855.42,16855.81,16855.05,16855.18,97
1704177840,16855.18,16855.68,16855.04,16855.68,37
1704177900,16855.68,16857.8,16855.66,16857.66,68
1704177960,16857.66,16858.93,16855.42,16855.68,144
1704178020,16855.68,16856.41,16854.54,16855.06,95
1704178080,16855.06,16855.31,16854.17,16854.42,60
1704178140,16854.42,16856.31,16854.42,16856.18,93
1704178200,16856.18,16856.66,16855.17,16855.66,74
1704178260,16855.66,16856.06,16854.56,16855.06,101
1704178320,16855.06,16855.18,16853.91,16854.06,116
1704178380,16854.06,16854.43,16852.91,16853.18,95
1704178440,16853.18,16853.68,16852.67,16853.04,146
1704178500,16853.04,16853.55,16852.54,16852.68,148
1704178560,16852.68,16853.68,16851.55,16852.05,125
1704178620,16852.05,16852.41,16848.93,16848.93,171
1704178680,16848.93,16849.43,16847.81,16848.93,155
1704178740,16848.93,16849.56,16848.66,16849.3,101
1704178800,16849.3,16853.67,16849.16,16852.55,284
1704178860,16852.55,16854.43,16851.8,16854.16,195
1704178920,16854.16,16854.31,16851.54,16852.16,152
1704178980,16852.16,16852.17,16849.16,16850.43,181
1704179040,16850.43,16850.43,16849.04,16849.66,173
1704179100,16849.66,16851.81,16849.43,16850.68,174
1704179160,16850.68,16851.43,16850.16,16850.92,155
1704179220,16850.92,16851.17,16849.66,16850.42,124
1704179280,16850.42,16853.18,16850.42,16852.92,113
1704179340,16852.92,16854.54,16852.42,16854.41,124
1704179400,16854.41,16856.29,16854.05,16856.05,135
1704179460,16856.05,16859.56,16855.92,16859.43,145
1704179520,16859.43,16863.68,16859.16,16862.91,232
1704179580,16862.91,16863.56,16862.31,16862.79,137
1704179640,16862.79,16864.29,16862.16,16862.42,144
1704179700,16862.42,16864.06,16862.29,16863.67,148
1704179760,16863.67,16863.67,16861.3,16863.16,121
1704179820,16863.16,16865.8,16862.91,16865.41,172
1704179880,16865.41,16867.16,16864.91,16866.41,139
1704179940,16866.41,16867.3,16865.05,16865.3,142
1704180000,16865.3,16866.3,16865.17,16866.16,116
1704180060,16866.16,16867.29,16864.67,16865.05,121
1704180120,16865.05,16865.29,16863.92,16864.66,160
1704180180,16864.66,16866.93,16863.91,16866.8,275
1704180240,16866.8,16867.67,16866.05,16867.18,198
1704180300,16867.18,16867.8,16866.68,16866.92,75
1704180360,16866.92,16868.04,16866.66,16867.67,132
1704180420,16867.67,16867.68,16865.29,16865.55,92
1704180480,16865.55,16865.8,16863.66,16865.43,145
1704180540,16865.43,16865.81,16863.56,16864.79,130
1704180600,16864.79,16865.68,16863.66,16864.41,147
1704180660,16864.41,16864.41,16863.04,16863.17,84
1704180720,16863.17,16865.05,16862.56,16863.93,136
1704180780,16863.93,16865.42,16863.55,16865.16,151
1704180840,16865.16,16865.16,16863.92,16864.68,87
1704180900,16864.68,16864.93,16863.54,16863.66,80
1704180960,16863.66,16864.43,16862.91,16863.16,137
1704181020,16863.16,16865.31,16863.05,16865.18,92
1704181080,16865.18,16865.56,16863.18,16863.68,134
1704181140,16863.68,16864.43,16863.54,16863.92,114
1704181200,16863.92,16864.66,16863.06,16863.68,90
1704181260,16863.68,16863.68,16861.67,16861.81,143
1704181320,16861.81,16862.18,16859.8,16860.31,158
1704181380,16860.31,16860.93,16858.54,16859.93,184
1704181440,16859.93,16860.16,16858.81,16859.43,166
1704181500,16859.43,16859.81,16856.79,16857.67,196
1704181560,16857.67,16859.68,16857.54,16858.67,181
1704181620,16858.67,16861.18,16857.91,16860.8,140
1704181680,16860.8,16862.41,16860.56,16862.18,155
1704181740,16862.18,16862.56,16860.06,16860.66,122
1704181800,16860.66,16863.41,16860.66,16862.41,204
1704181860,16862.41,16863.18,16861.91,16862.41,130
1704181920,16862.41,16862.54,16860.16,16861.43,90
1704181980,16861.43,16861.81,16860.29,16860.42,81
1704182040,16860.42,16860.68,16858.29,16859.67,142
1704182100,16859.67,16864.17,16859.56,16863.18,229
1704182160,16863.18,16863.56,16862.04,16863.56,114
1704182220,16863.56,16864.17,16862.42,16863.66,209
1704182280,16863.66,16863.93,16862.79,16863.43,172
1704182340,16863.43,16863.68,16861.54,16861.93,311
1704182400,16861.93,16867.8,16860.93,16867.18,874
1704182460,16867.18,16871.31,16866.16,16871.16,556
1704182520,16871.16,16872.31,16870.05,16870.68,478
1704182580,16870.68,16873.29,16869.91,16873.06,427
1704182640,16873.06,16874.18,16872.41,16873.29,523
1704182700,16873.29,16876.31,16872.04,16875.91,280
1704182760,16875.91,16876.43,16870.67,16870.81,389
1704182820,16870.81,16870.93,16867.8,16869.41,417
1704182880,16869.41,16870.68,16867.66,16868.55,430
1704182940,16868.55,16871.18,16868.16,16869.67,272
1704183000,16869.67,16869.67,16867.68,16868.93,395
1704183060,16868.93,16871.18,16868.42,16869.41,327
1704183120,16869.41,16871.68,16869.17,16871.66,214
1704183180,16871.66,16871.68,16869.04,16870.29,377
1704183240,16870.29,16872.06,16868.66,16870.81,408
1704183300,16870.81,16870.81,16868.05,16869.42,347
1704183360,16869.42,16872.18,16867.42,16871.17,369
1704183420,16871.17,16872.67,16869.92,16870.56,335
1704183480,16870.56,16874.04,16869.79,16873.66,435
1704183540,16873.66,16874.05,16871.79,16873.42,354
1704183600,16873.42,16873.42,16869.3,16871.8,275
1704183660,16871.8,16875.18,16871.54,16874.91,335
1704183720,16874.91,16875.8,16873.67,16874.8,309
1704183780,16874.8,16875.68,16873.56,16874.91,343
1704183840,16874.91,16877.68,16874.18,16876.05,385
1704183900,16876.05,16878.18,16875.91,16877.54,369
1704183960,16877.54,16878.16,16876.16,16876.66,296
1704184020,16876.66,16877.3,16874.41,16877.06,184
1704184080,16877.06,16879.31,16876.17,16878.42,291
1704184140,16878.42,16878.93,16874.79,16877.92,369
1704184200,16877.92,16879.56,16877.29,16878.92,277
1704184260,16878.92,16880.81,16878.56,16880.68,361
1704184320,16880.68,16881.43,16879.3,16880.56,271
1704184380,16880.56,16880.93,16879.55,16879.67,261
1704184440,16879.67,16880.93,16879.04,16880.79,343
1704184500,16880.79,16880.93,16880.16,16880.66,255
1704184560,16880.66,16880.81,16879.05,16880.66,342
1704184620,16880.66,16880.93,16878.06,16879.43,364
1704184680,16879.43,16879.79,16878.3,16879.55,262
1704184740,16879.55,16879.68,16876.66,16879.06,261
1704184800,16879.06,16879.68,16877.8,16878.54,254
1704184860,16878.54,16879.42,16877.41,16877.66,239
1704184920,16877.66,16879.18,16876.54,16879.16,241
1704184980,16879.16,16879.16,16877.16,16878.54,300
1704185040,16878.54,16878.68,16876.79,16877.43,238
1704185100,16877.43,16877.43,16874.29,16874.93,374
1704185160,16874.93,16875.42,16873.29,16874.93,387
1704185220,16874.93,16876.06,16872.93,16873.42,289
1704185280,16873.42,16875.31,16872.8,16874.18,293
1704185340,16874.18,16874.43,16872.92,16873.17,220
1704185400,16873.17,16874.68,16872.16,16872.67,308
1704185460,16872.67,16875.05,16872.55,16873.68,303
1704185520,16873.68,16874.93,16873.66,16873.91,246
1704185580,16873.91,16874.55,16872.04,16872.67,201
1704185640,16872.67,16874.68,16872.66,16873.92,244
1704185700,16873.92,16874.18,16872.54,16873.91,284
1704185760,16873.91,16875.17,16873.04,16873.67,280
1704185820,16873.67,16873.67,16870.54,16871.18,221
1704185880,16871.18,16872.55,16870.41,16871.68,292
1704185940,16871.68,16872.55,16871.16,16871.92,221
1704186000,16871.92,16873.3,16869.66,16871.66,384
1704186060,16871.66,16871.81,16868.16,16868.43,329
1704186120,16868.43,16868.68,16866.79,16867.04,286
1704186180,16867.04,16867.55,16864.8,16865.06,307
1704186240,16865.06,16865.31,16860.41,16860.41,296
1704186300,16860.41,16861.67,16858.79,16859.18,264
1704186360,16859.18,16860.17,16854.05,16856.43,405
1704186420,16856.43,16857.42,16854.91,16856.42,281
1704186480,16856.42,16856.68,16853.29,16854.43,289
1704186540,16854.43,16858.93,16854.43,16856.41,320
1704186600,16856.41,16856.68,16851.29,16851.41,338
1704186660,16851.41,16851.42,16846.43,16846.67,406
1704186720,16846.67,16849.29,16846.54,16846.66,309
1704186780,16846.66,16848.43,16846.29,16847.93,277
1704186840,16847.93,16848.68,16847.3,16848.3,206
1704186900,16848.3,16848.67,16844.31,16845.67,298
1704186960,16845.67,16845.93,16843.66,16845.29,289
1704187020,16845.29,16847.42,16843.17,16847.3,325
1704187080,16847.3,16847.68,16845.04,16846.43,246
1704187140,16846.43,16847.81,16845.54,16845.92,166
1704187200,16845.92,16847.31,16843.18,16846.43,323
1704187260,16846.43,16846.92,16845.29,16845.8,124
1704187320,16845.8,16848.8,16845.79,16847.91,154
1704187380,16847.91,16850.06,16846.56,16847.18,208
1704187440,16847.18,16847.43,16845.05,16845.42,287
1704187500,16845.42,16846.3,16843.91,16845.68,274
1704187560,16845.68,16847.68,16844.56,16846.8,258
1704187620,16846.8,16849.68,16846.06,16849.66,199
1704187680,16849.66,16850.17,16847.66,16850.17,242
1704187740,16850.17,16850.31,16849.29,16850.17,130
1704187800,16850.17,16850.29,16848.42,16848.43,216
1704187860,16848.43,16850.31,16847.66,16847.81,205
1704187920,16847.81,16848.43,16846.67,16848.17,201
1704187980,16848.17,16849.55,16847.41,16848.18,145
1704188040,16848.18,16849.06,16847.41,16848.41,189
1704188100,16848.41,16848.41,16845.16,16845.92,252
1704188160,16845.92,16847.17,16844.55,16847.17,297
1704188220,16847.17,16847.18,16841.41,16841.55,278
1704188280,16841.55,16845.16,16841.18,16842.81,242
1704188340,16842.81,16843.05,16839.41,16839.41,298
1704188400,16839.41,16840.17,16835.43,16836.8,275
1704188460,16836.8,16840.06,16836.06,16839.05,266
1704188520,16839.05,16842.17,16838.66,16840.17,258
1704188580,16840.17,16840.17,16836.3,16839.41,301
1704188640,16839.41,16842.18,16839.41,16841.43,183
1704188700,16841.43,16842.31,16839.8,16839.91,233
1704188760,16839.91,16842.81,16839.91,16841.92,282
1704188820,16841.92,16844.06,16841.29,16843.18,304
1704188880,16843.18,16844.56,16842.91,16843.56,210
1704188940,16843.56,16843.56,16840.54,16840.92,202
1704189000,16840.92,16841.68,16838.17,16838.93,169
1704189060,16838.93,16840.3,16836.06,16836.41,236
1704189120,16836.41,16838.29,16832.8,16837.41,329
1704189180,16837.41,16837.92,16835.67,16836.05,218
1704189240,16836.05,16837.8,16834.91,16835.91,247
1704189300,16835.91,16839.18,16834.16,16839.16,313
1704189360,16839.16,16840.93,16839.16,16840.06,225
1704189420,16840.06,16841.56,16838.92,16840.68,191
1704189480,16840.68,16841.17,16838.79,16839.17,143
1704189540,16839.17,16840.18,16837.67,16839.66,146
1704189600,16839.66,16840.8,16837.16,16839.04,298
1704189660,16839.04,16839.3,16837.66,16838.16,165
1704189720,16838.16,16840.31,16837.05,16840.05,200
1704189780,16840.05,16841.91,16839.54,16840.67,209
1704189840,16840.67,16840.67,16837.91,16839.42,206
1704189900,16839.42,16841.79,16838.17,16841.55,208
1704189960,16841.55,16841.56,16839.93,16841.17,159
1704190020,16841.17,16841.31,16838.16,16838.79,179
1704190080,16838.79,16839.16,16835.42,16837.04,243
1704190140,16837.04,16837.56,16835.41,16835.93,242
1704190200,16835.93,16838.81,16835.93,16838.16,277
1704190260,16838.16,16838.31,16835.16,16835.41,232
1704190320,16835.41,16835.41,16830.05,16830.68,262
1704190380,16830.68,16834.79,16830.31,16830.43,301
1704190440,16830.43,16831.81,16829.29,16831.42,228
1704190500,16831.42,16834.81,16831.3,16834.79,228
1704190560,16834.79,16837.79,16833.79,16836.93,242
1704190620,16836.93,16837.42,16834.16,16836.68,304
1704190680,16836.68,16836.93,16835.54,16836.42,125
1704190740,16836.42,16836.56,16833.3,16834.92,169
1704190800,16834.92,16837.42,16834.92,16837.42,180
1704190860,16837.42,16838.81,16836.79,16838.81,164
1704190920,16838.81,16839.56,16838.16,16839.43,147
1704190980,16839.43,16839.43,16836.41,16836.68,248
1704191040,16836.68,16836.93,16834.54,16834.66,178
1704191100,16834.66,16835.31,16833.04,16833.66,193
1704191160,16833.66,16834.68,16833.17,16833.67,214
1704191220,16833.67,16834.18,16832.54,16832.81,209
1704191280,16832.81,16832.81,16827.93,16828.67,251
1704191340,16828.67,16831.18,16827.16,16831.18,343
1704191400,16831.18,16833.04,16830.66,16832.66,282
1704191460,16832.66,16833.81,16831.68,16833.41,235
1704191520,16833.41,16834.18,16831.66,16832.17,268
1704191580,16832.17,16833.68,16831.91,16832.8,194
1704191640,16832.8,16833.43,16831.31,16831.41,161
1704191700,16831.41,16834.31,16831.41,16832.42,175
1704191760,16832.42,16834.18,16831.91,16832.18,244
1704191820,16832.18,16834.29,16831.91,16833.68,196
1704191880,16833.68,16834.56,16832.8,16833.3,171
1704191940,16833.3,16837.17,16833.04,16837.17,222
1704192000,16837.17,16841.68,16837.17,16841.16,267
1704192060,16841.16,16842.56,16839.41,16839.92,213
1704192120,16839.92,16841.04,16837.18,16837.79,227
1704192180,16837.79,16839.93,16837.79,16839.93,135
1704192240,16839.93,16840.68,16837.92,16839.41,209
1704192300,16839.41,16840.31,16836.55,16836.79,234
1704192360,16836.79,16837.41,16836.04,16836.67,255
1704192420,16836.67,16836.81,16833.8,16835.66,217
1704192480,16835.66,16837.05,16834.55,16834.92,309
1704192540,16834.92,16835.43,16832.91,16833.68,280
1704192600,16833.68,16834.68,16832.56,16832.66,260
1704192660,16832.66,16832.68,16826.16,16826.18,335
1704192720,16826.18,16827.92,16823.66,16826.42,288
1704192780,16826.42,16826.42,16823.67,16824.16,263
1704192840,16824.16,16826.41,16823.42,16824.91,195
1704192900,16824.91,16827.66,16824.91,16827.17,205
1704192960,16827.17,16828.06,16823.42,16823.93,200
1704193020,16823.93,16824.93,16818.56,16818.8,402
1704193080,16818.8,16820.18,16813.29,16813.79,587
1704193140,16813.79,16816.43,16813.79,16816.06,274
1704193200,16816.06,16816.06,16811.17,16812.18,250
1704193260,16812.18,16813.93,16811.3,16813.68,330
1704193320,16813.68,16815.05,16813.05,16813.54,235
1704193380,16813.54,16818.05,16813.54,16817.91,260
1704193440,16817.91,16817.91,16815.16,16816.81,174
1704193500,16816.81,16821.68,16814.91,16815.68,305
1704193560,16815.68,16815.68,16802.41,16804.55,605
1704193620,16804.55,16806.06,16797.11,16800.41,400
1704193680,16800.41,16800.42,16787.11,16792.05,596
1704193740,16792.05,16794.55,16791.66,16793.04,256
1704193800,16793.04,16796.04,16792.79,16795.55,386
1704193860,16795.55,16797.56,16794.8,16796.55,247
1704193920,16796.55,16797.18,16787.16,16787.66,400
1704193980,16787.66,16788.43,16781.31,16784.81,704
1704194040,16784.81,16787.55,16777.41,16777.42,655
1704194100,16777.42,16779.18,16763.88,16765.79,858
1704194160,16765.79,16772.05,16761.3,16762.06,612
1704194220,16762.06,16763.3,16747.66,16755.05,1181
1704194280,16755.05,16758.16,16742.91,16744.92,804
